Geneid,Gene Type,Product Description,BD,BD.1,BD.2,BP,BP.1,BP.2,DA,DA.1,DA.2,DD,DD.1,DD.2,DP,DP.1,DP.2
AGAP000272,protein coding gene,transcription initiation factor TFIID subunit 9 / adenylate kinase,522,588,492,594,573,434,448,876,272,545,732,630,342,270,330
AGAP000273,protein coding gene,unspecified product,1351,1135,995,689,870,751,340,1018,131,1159,1042,1023,460,436,653
AGAP000274,protein coding gene,unspecified product,466,625,436,645,689,249,469,1065,270,389,527,707,291,172,330
AGAP000275,protein coding gene,epidermal retinal dehydrogenase,257,288,179,376,463,239,246,531,182,264,432,316,222,164,256
AGAP000277,protein coding gene,EF-hand calcium-binding domain-containing protein 1,17,17,17,12,7,13,6,17,13,9,12,13,4,6,6
AGAP000278,protein coding gene,odorant-binding protein 9,1038,893,759,584,435,901,157,701,42,562,608,556,357,376,986
AGAP000279,protein coding gene,Odorant-binding protein 8 [Source:UniProtKB/TrEMBL;Acc:A0A1S4G948],1,0,0,1,3,1,1,1,1,0,0,1,0,0,4
AGAP000280,protein coding gene,guanylate cyclase soluble subunit alpha,607,605,581,383,341,386,187,490,104,477,472,445,249,180,283
AGAP000281,protein coding gene,HMG box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8L8],1547,1207,1214,1408,1002,1300,1035,1743,894,1092,1222,1078,912,631,796
AGAP000283,protein coding gene,unspecified product,162,116,115,102,104,110,61,132,27,112,99,95,88,63,84
AGAP000284,protein coding gene,cytochrome P450,141,108,83,104,104,64,82,165,14,193,181,138,74,49,84
AGAP000285,protein coding gene,unspecified product,594,488,452,464,439,363,362,677,219,530,623,471,300,216,347
AGAP000286,protein coding gene,unspecified product,39,23,22,38,24,19,14,35,10,16,27,15,11,18,18
AGAP000287,protein coding gene,"prostaglandin reductase 1, gene",350,324,270,160,174,233,70,300,28,232,210,254,126,121,200
AGAP000288,protein coding gene,prostaglandin reductase 1,215,164,149,102,82,129,33,145,10,124,121,112,66,97,106
AGAP000289,protein coding gene,"prostaglandin reductase 1, gene 2",254,176,159,158,134,128,100,206,108,176,155,107,118,70,130
AGAP000290,protein coding gene,CLIP-domain serine protease,278,227,265,243,272,219,91,303,22,484,437,286,195,244,355
AGAP000291,protein coding gene,Translocase of inner mitochondrial membrane 44 homolog (yeast),1610,1400,1369,1582,1507,1208,746,1801,383,1267,1487,1442,1046,888,842
AGAP000292,protein coding gene,unspecified product,2053,1653,1462,1374,1115,1691,832,1975,762,1372,1277,1103,1493,776,1051
AGAP000293,protein coding gene,ionotropic receptor IR100h,5,2,5,2,1,1,0,2,0,2,4,1,2,3,0
AGAP000294,protein coding gene,unspecified product,472,403,397,329,314,306,111,431,77,397,314,335,263,207,290
AGAP000295,protein coding gene,unspecified product,584,469,513,450,400,460,320,397,344,314,465,319,314,208,272
AGAP000296,protein coding gene,unspecified product,1203,997,721,721,877,841,155,661,14,904,847,905,544,534,934
AGAP000297,protein coding gene,unspecified product,796,774,716,680,518,793,509,726,308,899,914,587,330,279,297
AGAP000298,protein coding gene,unspecified product,6,12,8,8,11,3,2,9,0,7,12,7,6,5,4
AGAP000299,protein coding gene,unspecified product,47,38,31,46,55,29,39,49,35,50,62,42,43,32,28
AGAP000300,protein coding gene,Bifunctional pyrimidine biosynthesis protein (PyrABCN),4608,3231,3064,2703,3150,2608,1068,3136,520,3209,2708,3516,3157,2610,3250
AGAP000301,protein coding gene,unspecified product,506,330,323,347,342,321,167,523,113,283,302,429,343,184,255
AGAP000303,protein coding gene,unspecified product,88,29,33,39,33,78,21,26,7,36,51,22,34,17,18
AGAP000304,protein coding gene,Protein twisted gastrulation,2486,2380,2215,2290,2082,2074,2274,3808,1916,2356,3106,2081,1144,999,1126
AGAP000305,protein coding gene,SPARC,2004,1476,1480,1400,986,1825,506,1595,251,1626,1609,1696,790,833,1111
AGAP000306,protein coding gene,Histone H2A [Source:UniProtKB/TrEMBL;Acc:Q7QF50],3571,2883,2625,3477,2435,3239,2774,3380,3507,2458,2288,2229,1949,1240,1773
AGAP000307,protein coding gene,Integrin alpha-PS1,1452,980,1056,696,938,956,350,1080,141,1117,1130,962,709,500,837
AGAP000308,protein coding gene,proteasome activator subunit 3 (PA28 gamma),2074,1844,1563,1982,1776,1461,1120,2059,612,1976,1812,1834,1237,1078,1522
AGAP000309,protein coding gene,unspecified product,87,65,45,19,33,37,11,46,4,38,30,36,23,22,23
AGAP000310,protein coding gene,mitogen-activated protein kinase kinase 3,401,327,346,330,242,278,298,385,358,366,450,317,278,204,230
AGAP000311,protein coding gene,UNC93-like protein MFSD11,231,158,127,70,70,98,36,88,11,84,75,128,42,35,48
AGAP000312,protein coding gene,unspecified product,548,508,459,423,375,315,365,568,247,454,515,440,375,276,365
AGAP000313,protein coding gene,alanine-glyoxylate aminotransferase 2-like,3570,4072,3434,3292,3563,3615,2715,6592,1691,3592,5735,4787,2112,1827,2602
AGAP000314,protein coding gene,unspecified product,1248,822,903,738,688,628,251,912,92,651,858,719,700,474,609
AGAP000315,protein coding gene,CLIP-domain serine protease,1093,789,769,665,674,782,437,921,401,679,984,691,663,590,796
AGAP000316,protein coding gene,unspecified product,199,153,143,121,95,131,43,171,40,133,114,131,99,73,107
AGAP000317,protein coding gene,unspecified product,393,349,349,285,285,354,279,326,319,281,319,222,212,129,162
AGAP000319,protein coding gene,katanin p80 WD40 repeat-containing subunit,681,566,464,414,437,414,233,580,179,543,564,566,436,285,403
AGAP000320,protein coding gene,"dynein intermediate chain, cytosolic",3314,3036,2675,2588,2323,2302,1654,3514,868,3525,3362,2555,1839,1414,1997
AGAP000321,protein coding gene,unspecified product,1380,1268,1246,951,961,988,1050,1362,669,2089,2159,1415,461,395,464
AGAP000322,protein coding gene,Adaptin ear-binding coat-associated protein 1,979,742,852,762,611,734,621,1006,559,756,713,674,532,370,527
AGAP000323,protein coding gene,unspecified product,460,326,253,232,249,371,136,298,77,280,197,230,212,110,218
AGAP000324,protein coding gene,tRNA (guanine9-N1)-methyltransferase,201,169,127,129,93,145,117,199,66,196,181,186,96,73,96
AGAP000325,protein coding gene,"lysyl-tRNA synthetase, class II",862,828,642,674,614,657,343,785,134,902,826,733,497,398,580
AGAP000326,protein coding gene,unspecified product,281,257,251,183,191,152,91,270,38,299,349,281,126,119,211
AGAP000327,protein coding gene,tyrosine aminotransferase,7407,6941,6384,4169,3950,4330,2942,9024,2144,8665,7767,7816,4342,3658,5158
AGAP000328,protein coding gene,AMME syndrome candidate gene 1 protein,1380,1147,1114,1153,935,1066,1087,1360,1364,1417,1393,1038,878,605,721
AGAP000329,protein coding gene,nicotinic acetylcholine receptor subunit alpha 3,358,332,337,349,264,310,210,351,310,214,213,190,189,136,176
AGAP000330,protein coding gene,unspecified product,467,367,378,339,334,338,218,372,106,332,330,346,238,211,264
AGAP000331,protein coding gene,low density lipoprotein-related protein 2],7971,6669,6086,3840,4096,4724,2594,6146,1836,5184,5663,4795,3261,2778,3464
AGAP000332,protein coding gene,protein virilizer,1986,1746,1680,1161,1242,932,461,1652,145,1420,1466,1394,1017,680,1028
AGAP000334,protein coding gene,unspecified product,861,677,766,621,534,724,458,729,361,859,836,498,468,322,419
AGAP000336,protein coding gene,transcription initiation factor TFIID TATA-box-binding protein,1102,836,828,1001,787,853,891,1087,829,1006,1208,726,722,490,644
AGAP000337,protein coding gene,regulator of nonsense transcripts 2,1176,859,820,627,550,708,254,766,120,864,697,774,518,359,476
AGAP000338,protein coding gene,phosphomevalonate kinase,55,50,42,36,34,24,17,51,6,57,44,35,27,18,31
AGAP000339,protein coding gene,E3 ubiquitin-protein ligase Hakai,403,309,314,369,280,276,311,502,200,412,437,345,253,167,243
AGAP000340,protein coding gene,LRRCT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G9B1],281,222,191,123,152,165,76,203,9,236,279,175,85,56,111
AGAP000341,protein coding gene,Galectin [Source:UniProtKB/TrEMBL;Acc:Q7QF77],102,121,109,88,40,50,46,126,14,160,141,115,52,35,53
AGAP000342,protein coding gene,"inhibin, beta",128,134,114,83,79,91,47,100,22,67,71,79,69,47,43
AGAP000343,protein coding gene,vacuolar protein sorting 50,675,548,467,438,443,429,228,561,126,607,559,455,331,254,401
AGAP000344,protein coding gene,cuticular protein RR-1 family 127,329,302,723,296,140,653,198,260,115,109,161,76,126,111,183
AGAP000345,protein coding gene,cuticular protein RR-2 family 126,49,40,92,41,13,70,11,19,6,16,32,7,10,20,16
AGAP000346,protein coding gene,spaetzle-like cytokine 1,454,423,424,360,273,304,248,461,192,518,506,438,233,188,189
AGAP000347,protein coding gene,pyrokinin capa-like,311,298,238,283,257,238,124,263,102,293,297,268,164,147,208
AGAP000348,protein coding gene,unspecified product,854,781,713,193,131,225,219,714,133,901,934,850,47,64,55
AGAP000349,protein coding gene,"transient receptor potential cation channel subfamily C, invertebrate",1582,1293,1199,1425,1311,1228,1570,1992,1559,1536,1640,1392,835,664,759
AGAP000351,protein coding gene,neuropeptide Y receptor 1,87,83,74,42,55,48,17,60,13,55,55,44,31,23,42
AGAP000352,protein coding gene,cuticular protein TWDL family (TWDL1),36,70,34,20,15,12,64,55,21,50,120,40,7,14,4
AGAP000354,protein coding gene,unspecified product,2661,2131,2191,2328,1940,2022,1780,2704,1160,2409,2601,1837,1805,1324,1796
AGAP000355,protein coding gene,unspecified product,661,438,427,501,403,422,314,624,195,500,506,401,354,282,357
AGAP000356,protein coding gene,SCP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8Q1],90,56,74,123,97,155,13,48,2,38,26,23,71,59,98
AGAP000357,protein coding gene,E3 ubiquitin-protein ligase ZNRF1/2,379,229,220,247,222,324,110,229,36,312,217,265,182,172,135
AGAP000358,protein coding gene,unspecified product,1174,1274,1000,901,1137,826,428,1200,180,1419,1559,1283,675,658,839
AGAP000359,protein coding gene,venom allergen,166,139,230,113,78,188,25,166,29,105,77,71,73,64,92
AGAP000360,protein coding gene,unspecified product,1134,899,892,803,681,852,383,694,421,599,647,574,526,393,529
AGAP000361,protein coding gene,unspecified product,557,451,413,349,292,368,151,323,57,417,354,301,294,225,319
AGAP000363,protein coding gene,unspecified product,2580,1819,2153,1655,1437,2041,1544,2464,1861,1732,1632,1243,1320,849,1051
AGAP000364,protein coding gene,protein stoned-A,514,429,450,273,225,352,162,393,119,338,323,326,263,200,193
AGAP000365,protein coding gene,"alpha-1,3-fucosyltransferase",944,832,672,677,803,727,158,516,63,542,513,659,390,354,480
AGAP000366,protein coding gene,unspecified product,43,88,51,90,87,52,40,98,27,52,63,64,49,44,34
AGAP000367,protein coding gene,glyoxalase domain-containing protein 4,878,905,912,1461,1785,1467,620,1263,712,726,674,1143,1103,621,1055
AGAP000368,protein coding gene,PI-3-kinase-related kinase SMG-1,1442,1083,942,752,727,885,285,878,209,925,694,872,682,428,662
AGAP000369,protein coding gene,putative GPCR class a orphan receptor 10,16,11,15,15,16,6,6,8,1,8,7,12,10,4,10
AGAP000372,protein coding gene,unspecified product,615,435,483,601,466,574,473,592,359,672,738,478,539,345,509
AGAP000374,protein coding gene,anaphase-promoting complex subunit 1,337,197,191,128,153,202,50,191,35,209,149,156,108,76,157
AGAP000375,protein coding gene,unspecified product,2118,1923,1965,1667,1797,1680,683,1898,328,1639,1427,1742,1112,962,1362
AGAP000376,protein coding gene,Transferrin [Source:UniProtKB/TrEMBL;Acc:Q7QF98],2323,1832,1190,526,538,949,1603,1673,218,5029,4524,699,451,988,1250
AGAP000377,protein coding gene,E3 ubiquitin-protein ligase,97,50,58,24,43,23,37,26,5,38,43,22,13,7,17
AGAP000378,protein coding gene,programmed cell death protein 4,10419,8078,8803,8206,6315,6332,7133,9472,5804,9289,9491,7204,5100,4310,5684
AGAP000379,protein coding gene,piggyBac-derived 3,19,17,12,10,9,17,3,21,3,21,28,11,7,9,15
AGAP000380,protein coding gene,5'-nucleotidase [Source:UniProtKB/TrEMBL;Acc:Q7QFA2],3028,3166,2806,3038,2946,2513,1840,3087,1192,3176,3580,2532,2475,1974,2505
AGAP000382,protein coding gene,unspecified product,2,10,3,3,2,1,1,4,1,3,8,0,2,5,3
AGAP000383,protein coding gene,unspecified product,73,48,52,32,22,35,6,52,6,45,23,32,29,20,28
AGAP000385,protein coding gene,unspecified product,1112,1006,1020,760,730,1199,471,824,213,989,933,719,596,482,638
AGAP000387,protein coding gene,UDP-N-acetylglucosamine transporter,222,150,134,122,156,116,87,146,91,157,175,149,82,55,101
AGAP000388,protein coding gene,TOLL pathway signalling TNF Receptor-Associated Factor (TRAF).,235,241,220,165,207,185,165,221,58,352,354,199,83,72,87
AGAP000389,protein coding gene,unspecified product,641,534,561,427,374,478,286,594,248,369,360,357,332,240,278
AGAP000390,protein coding gene,phospholipid-transporting ATPase,768,643,606,472,453,511,494,707,328,511,904,606,318,243,287
AGAP000391,protein coding gene,negative elongation factor C/D,345,268,208,198,219,230,158,262,101,210,187,189,153,122,117
AGAP000392,protein coding gene,synaptobrevin homolog YKT6,795,685,571,721,589,636,508,866,423,617,658,565,394,338,484
AGAP000393,protein coding gene,Trimeric intracellular cation channel type B,3846,3762,4007,3893,4180,3927,2504,3917,1575,2946,3736,2737,2016,1494,2311
AGAP000394,protein coding gene,facilitated glucose transporter (solute carrier family 2),535,434,354,369,393,350,145,465,77,302,305,399,216,222,260
AGAP000395,protein coding gene,endoplasmic reticulum protein,186,172,137,79,98,78,60,135,30,162,127,147,48,44,70
AGAP000396,protein coding gene,thioredoxin peroxidase 1,922,796,708,526,596,527,236,688,60,682,615,720,400,353,575
AGAP000397,protein coding gene,nucleolar protein 14,628,557,408,453,456,469,294,495,215,560,447,506,411,283,461
AGAP000398,protein coding gene,methionyl-tRNA formyltransferase,95,79,69,62,62,51,34,71,12,73,55,52,24,28,38
AGAP000399,protein coding gene,squid,6677,5800,5071,5838,4899,5760,4410,6473,3683,5443,5837,4718,4280,2831,3738
AGAP000400,protein coding gene,unspecified product,1275,1075,958,1065,926,763,755,1371,365,1243,1382,925,757,553,784
AGAP000401,protein coding gene,carbonic anhydrase 2,45,38,24,23,19,24,3,29,1,55,30,21,10,15,18
AGAP000402,protein coding gene,Nogo-B receptor precursor,836,440,395,390,354,424,208,531,141,670,522,347,225,221,234
AGAP000403,protein coding gene,unspecified product,4507,3543,3403,3642,3068,3216,2730,4482,3055,3389,3078,3020,2635,1695,2314
AGAP000405,protein coding gene,sphingomyelin phosphodiesterase 4,451,359,279,227,234,268,129,280,51,332,332,312,186,140,233
AGAP000406,protein coding gene,Rho-associated protein kinase,2195,1611,1517,1444,1502,1548,1109,1908,445,1728,1818,1422,1181,830,1321
AGAP000407,protein coding gene,unspecified product,1032,791,737,694,751,660,508,912,252,880,897,797,621,406,612
AGAP000408,protein coding gene,unspecified product,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AGAP000410,protein coding gene,histone deacetylase 4/5,2770,2003,2141,1496,1456,1620,934,1948,612,1852,3342,1646,1504,1135,1494
AGAP000411,protein coding gene,unspecified product,48,13,10,8,9,27,4,9,7,7,15,17,15,3,4
AGAP000412,protein coding gene,unspecified product,1219,1139,982,1134,1109,841,781,1131,433,1118,1128,1069,703,547,706
AGAP000413,protein coding gene,unspecified product,14,18,12,8,9,6,6,10,1,19,9,12,9,7,4
AGAP000414,protein coding gene,prostaglandin reductase 1,504,395,272,283,291,258,195,553,64,425,478,419,283,212,422
AGAP000415,protein coding gene,5-hydroxyisourate hydrolase,193,134,129,129,137,115,39,146,17,128,92,111,95,74,91
AGAP000416,protein coding gene,hydroxyacylglutathione hydrolase,849,626,581,539,614,515,229,761,90,619,608,643,403,387,572
AGAP000417,protein coding gene,unspecified product,35,23,26,14,20,24,6,20,3,5,12,10,23,13,11
AGAP000420,protein coding gene,unspecified product,447,374,311,275,319,303,62,302,15,234,277,309,265,186,233
AGAP000421,protein coding gene,unspecified product,0,1,2,3,1,0,1,3,0,2,0,1,0,1,0
AGAP000422,protein coding gene,(heparan sulfate)-glucosamine 3-sulfotransferase 3,27,23,20,10,10,18,3,22,2,19,15,16,10,11,20
AGAP000423,protein coding gene,unspecified product,26,7,1,16,0,13,13,4,6,8,1,0,2,1,0
AGAP000424,protein coding gene,unspecified product,94,58,67,51,62,88,29,44,21,33,24,32,45,58,34
AGAP000425,protein coding gene,unspecified product,835,700,727,910,860,719,745,990,738,710,683,643,519,338,482
AGAP000426,protein coding gene,benzodiazapine receptor,697,591,526,390,445,435,228,558,140,547,574,409,251,240,425
AGAP000427,protein coding gene,vitellogenin receptor,3598,1899,1657,1727,2309,1800,1077,3164,323,4039,2870,3574,2428,1772,3682
AGAP000428,protein coding gene,CUE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7QFD7],366,292,248,237,206,234,143,319,72,307,254,235,140,128,157
AGAP000429,protein coding gene,Protein FAN,413,303,270,221,230,188,86,314,46,398,320,298,145,149,244
AGAP000430,protein coding gene,unspecified product,86,116,132,80,70,80,31,119,12,108,98,87,61,50,44
AGAP000431,protein coding gene,unspecified product,15,11,8,7,5,8,1,10,0,2,4,5,11,6,1
AGAP000432,protein coding gene,unspecified product,223,207,150,165,165,198,93,219,48,230,245,175,105,74,122
AGAP000433,protein coding gene,Ras-related protein Rab-39B,774,621,569,600,484,574,363,757,198,614,528,494,429,298,392
AGAP000434,protein coding gene,dolichyl-diphosphooligosaccharide--protein glycosyltransferase,1285,996,854,694,625,744,521,1147,406,1016,1043,956,506,445,718
AGAP000436,protein coding gene,chitinase,758,583,565,520,540,554,229,575,91,575,613,527,380,352,502
AGAP000437,protein coding gene,DM5 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7PS59],0,5,0,0,0,1,1,0,0,1,0,0,0,0,1
AGAP000438,protein coding gene,unspecified product,368,293,241,191,222,223,75,268,18,309,290,270,143,131,216
AGAP000439,protein coding gene,4a-hydroxytetrahydrobiopterin dehydratase,631,519,394,396,446,433,292,656,254,655,688,601,284,323,448
AGAP000440,protein coding gene,ATP-binding cassette transporter (ABC transporter) family D member 2,1619,1344,1047,1149,1178,1266,664,1445,406,1288,1347,1266,794,636,962
AGAP000441,protein coding gene,"nuclear transcription factor Y, gamma",990,783,726,816,733,676,610,923,435,762,806,773,496,367,485
